14.2	9.8	14.8	22.4	7.4	3004.6
15.7	11.6	16.2	23.5	7.9	3071.1
17.4	15	19.5	26.9	9	3350.7
23.2	19.5	26.2	34.3	11	3671.5
27.7	20.7	28.8	39	13.1	3885
29.9	23.7	31.4	42.5	15.4	4378.5
30.7	27.4	33.4	44.9	18.8	4669.4
32.2	31.8	36.1	50.5	23.8	5195.6
33.3	36.5	38.5	50.9	29.4	5911.4
36.5	42.2	42.1	57.1	37.9	6347.7
38.7	47.4	45.7	60.1	45.2	6908.7
44	54.8	52	67	52.4	7305
49.7	62.1	55.6	70.2	58.2	8377.1
84.7	80.8	79	78.7	78.7	9009.4
100	100	100	100	100	9644.2
110.1	118.5	121.1	105	134.7	11916.4
117	136.8	122.2	110	179.5	12175.2
