"Alabama"                                 0       29.5       75.3         19       87.6          2       2000  
"Alaska"                                  0      45.22       88.3       24.7        1.1          3       2000  
"Arizona"                                 0      36.94         81       23.5       45.2          3       2000  
"Arkansas"                                0         27       75.3       16.7       51.3          2       2000  
"California"                              1      41.71       76.8       26.6      217.2          3       2000  
"Colorado"                                0      43.23       86.9       32.7       41.5          3       2000  
"Connecticut"                             1      44.88         84       31.4      702.9          1       2000  
"Delaware"                                1      44.69       82.6         25      401.1          1       2000  
"District of Columbia"                    1      34.53       77.8       39.1     9316.4          1       2000  
"Florida"                                 0      33.86       79.9       22.3      296.4          2       2000  
"Georgia"                                 0      38.22       78.6       24.3      141.4          2       2000  
"Hawaii"                                  1       42.8       84.6       26.2      188.6          3       2000  
"Idaho"                                   0      33.38       84.7       21.7       15.6          3       2000  
"Illinois"                                1      41.38       81.4       26.1      223.4          1       2000  
"Indiana"                                 0      35.39       82.1       19.4      169.5          1       2000  
"Iowa"                                    1      38.31       86.1       21.2       52.4          1       2000  
"Kansas"                                  0       33.6         86       25.8       32.9          1       2000  
"Kentucky"                                0      33.14       74.1       17.1      101.7          2       2000  
"Louisiana"                               0      26.93       74.8       18.7      102.6          2       2000  
"Maine"                                   1      37.07       85.4       22.9       41.3          1       2000  
"Maryland"                                1      46.07       83.8       31.4      541.9          1       2000  
"Massachusetts"                           1      41.84       84.8       33.2      809.8          1       2000  
"Michigan"                                1      41.15       83.4       21.8        175          1       2000  
"Minnesota"                               1      45.33       87.9       27.4       61.8          1       2000  
"Mississippi"                             0       28.1       72.9       16.9       60.6          2       2000  
"Missouri"                                0       42.3       81.3       21.6       81.2          1       2000  
"Montana"                                 0      28.56       87.2       24.4        6.2          3       2000  
"Nebraska"                                0      34.38       86.6       23.7       22.3          1       2000  
"Nevada"                                  0      39.88       80.7       18.2       18.2          3       2000  
"New Hampshire"                           0       43.6       87.4       28.7      137.8          1       2000  
"New Jersey"                              1      45.48       82.1       29.8     1134.4          1       2000  
"New Mexico"                              1      31.42       78.9       23.5         15          3       2000  
"New York"                                1      37.08       79.1       27.4      401.9          1       2000  
"North Carolina"                          0       34.6       78.1       22.5      165.2          2       2000  
"North Dakota"                            0       31.5       83.9         22        9.3          3       2000  
"Ohio"                                    0      39.12         83       21.1      277.3          1       2000  
"Oklahoma"                                0      28.91       80.6       20.3       50.3          3       2000  
"Oregon"                                  1      37.82       85.1       25.1       35.6          3       2000  
"Pennsylvania"                            1      38.98       81.9       22.4        274          1       2000  
"Rhode Island"                            1       38.3         78       25.6     1003.2          1       2000  
"South Carolina"                          0      33.08       76.3       20.4      133.2          2       2000  
"South Dakota"                            0      32.23       84.6       21.5        9.9          3       2000  
